date,pagePath,exits
2019-07-05,/?fbclid=IwAR3YbeEbV6G3b-PUNdE2WgOGNGTHRk2oFpqkxE143RfIoeaS8VT8HpHwnnI,1
2019-07-05,/about-us/become-a-data-instructor/,1
2019-07-05,/about-us/become-an-instructor/,1
2019-07-05,/blog/2018-our-year-in-review/,1
2019-07-05,/blog/9-common-misconceptions-coding/,1
2019-07-05,/blog/career-change-developer/,1
2019-07-05,/blog/category/inspiring-stories/,1
2019-07-05,/blog/codebar-edinburgh-second-anniversary/?fbclid=IwAR2CNH74xgra3ZwG5Nh34VnaVA9lVqn8j6EPemlqp-ck9nmdD7O5HcqTFkM,1
2019-07-05,/blog/codebar-edinburgh-second-anniversary/?fbclid=IwAR2SBE8peY2Ku1TuB0xoYI8Q_gJ3VV6sGrjrSOLORQ8sFJxaxVXMM7m55JY,1
2019-07-05,/blog/codeclan-ceo-melinda-matthews/,1
2019-07-05,/blog/congratulations-cohort-e29-graduates/,1
2019-07-05,/blog/congratulations-cohort-e29-graduates/?fbclid=IwAR0iHPNLUF4IJFn5Oqqswm3jZieV7qlj4qF18uoio_m9D5D-dPsAGo13L1M,1
2019-07-05,/blog/expanding-comfort-zone-digital-womens-group/,1
2019-07-05,/blog/finding-creativity-through-code-meet-richard-product-manager-at-neu/,1
2019-07-05,/blog/free-courses-launched-techmums/,1
2019-07-05,/blog/graduates-journalist-junior-developer/,1
2019-07-05,/blog/graduates-peter-tester-junior-software-developer/,1
2019-07-05,/blog/hire-developer-screening-candidates/,1
2019-07-05,/blog/inspirational-women-tech/,1
2019-07-05,/blog/learn-to-code-working/,1
2019-07-05,/blog/learning-from-failure/,1
2019-07-05,/blog/most-asked-questions/,1
2019-07-05,/blog/new-job-in-digital-codeclan/,1
2019-07-05,/blog/no-tech-background-no-problem-8-career-changers-from-different-backgrounds/?fbclid=IwAR3_nKIppjk8QfvK2_qoFtrfuE7TC65Ij3GAdiKI0FntQWCZUfMBSpigDKE,1
2019-07-05,/blog/our-guide-to-funding-our-full-time-courses/,1
2019-07-05,/blog/primary-teacher-to-java-developer/,1
2019-07-05,/blog/suzanne-qa-engineer/,1
2019-07-05,/blog/tag/evening-classes/,1
2019-07-05,/blog/took-back-control-coding/,1
